"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"HRHNEXT","HRH Next Services Limited","7(2)","Nina Shah","Promoter Group","Equity Shares","Nil","0",,"3000","120000","Buy","Equity Shares","3000","0.02","20-Sep-2024","20-Sep-2024","20-Sep-2024","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171565_1248343_24092024055403_WEB.xml"
"HRHNEXT","HRH Next Services Limited","7(2)","Prachi Parikshit Shah","Promoter Group","Equity Shares","Nil","0",,"99000","3960000","Buy","Equity Shares","99000","0.75","20-Sep-2024","20-Sep-2024","20-Sep-2024","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171565_1248343_24092024055403_WEB.xml"
"HRHNEXT","HRH Next Services Limited","7(2)","Pranav Pankaj Shah","Promoter Group","Equity Shares","173621","1.89",,"102000","4080000","Buy","Equity Shares","275621","2.09","20-Sep-2024","20-Sep-2024","20-Sep-2024","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171565_1248343_24092024055403_WEB.xml"
"HRHNEXT","HRH Next Services Limited","7(2)","Trishla Shah","Promoter Group","Equity Shares","86000","0.93",,"198000","7920000","Buy","Equity Shares","284000","2.15","20-Sep-2024","20-Sep-2024","20-Sep-2024","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171565_1248343_24092024055403_WEB.xml"
"HRHNEXT","HRH Next Services Limited","7(2)","Parikshit Pankaj Shah","Promoters","Equity Shares","619980","6.73",,"99000","3960000","Buy","Equity Shares","718980","5.44","20-Sep-2024","20-Sep-2024","20-Sep-2024","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171565_1248343_24092024055403_WEB.xml"
"HRHNEXT","HRH Next Services Limited","7(2)","Ankit Sanjay Shah","Promoters","Equity Shares","3000000","32.59",,"408000","16320000","Buy","Equity Shares","3408000","25.81","20-Sep-2024","20-Sep-2024","20-Sep-2024","Preferential Offer","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171565_1248343_24092024055403_WEB.xml"
"UTTAMSUGAR","Uttam Sugar Mills Limited","7(2)","RANJANA CHOPRA","Promoter Group","Equity Shares","465601","1.22",,"90000","0","Sell","Equity Shares","375601","0.98","23-Sep-2024","23-Sep-2024","24-Sep-2024","Gift","-","-","0","0","0","0","NA","-","24-Sep-2024 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171563_1248333_24092024055100_WEB.xml"
"UTTAMSUGAR","Uttam Sugar Mills Limited","7(2)","RAJ KUMAR ADLAKHA","Promoters","Equity Shares","2044610","5.36",,"90000","0","Buy","Equity Shares","2134610","5.6","23-Sep-2024","23-Sep-2024","24-Sep-2024","Gift","-","-","0","0","0","0","NA","-","24-Sep-2024 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171563_1248333_24092024055100_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","6424222","0.26",,"2242","2135135","Sell","Equity Shares","6421980","0.26","18-Sep-2024","18-Sep-2024","20-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171562_1248329_24092024054954_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","6421980","0.26",,"14728","14728","Sell","Equity Shares","6407252","0.26","18-Sep-2024","18-Sep-2024","20-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","24-Sep-2024 17:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171562_1248329_24092024054954_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6429912","0.26",,"5690","5418738","Sell","Equity Shares","6424222","0.26","18-Sep-2024","18-Sep-2024","20-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171562_1248329_24092024054954_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Ajay Kapoor","Other","Equity Shares","167110","0",,"1500","2635500","Sell","Equity Shares","165610","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171559_1248271_24092024052227_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Shriram Iyer","Other","Equity Shares","18347","0",,"7000","12254970","Sell","Equity Shares","11347","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171559_1248271_24092024052227_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Ajay Kapoor","Other","Equity Shares","171110","0",,"4000","6922000","Sell","Equity Shares","167110","0","20-Sep-2024","20-Sep-2024","21-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171559_1248271_24092024052227_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Ajay Kapoor","Other","Equity Shares","173110","0",,"2000","3430720","Sell","Equity Shares","171110","0","19-Sep-2024","19-Sep-2024","20-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171559_1248271_24092024052227_WEB.xml"
"OFSS","Oracle Financial Services Software Limited","7(2)","Mr. ONKARNATH BANERJEE","Key Managerial Personnel","Equity Shares","148","0",,"100","1148662","Sell","Equity Shares","48","0","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 17:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171557_1248257_24092024051159_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Sharmeen Khalid","Employees/Designated Employees","Equity Shares","26463","0.02",,"2500","20306102","Sell","Equity Shares","23963","0.02","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171554_1248227_24092024045546_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Niraj Seth","Employees/Designated Employees","Equity Shares","3484","0",,"200","1645000","Sell","Equity Shares","3284","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171554_1248227_24092024045546_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Surbhi Aggarwal","Immediate relative","Equity Shares","7650","0.01",,"150","1228830","Sell","Equity Shares","7500","0.01","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171554_1248227_24092024045546_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Kapil Kapoor","Director","Equity Shares","2336159","1.81",,"5491","44746049","Sell","Equity Shares","2330668","1.8","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171554_1248227_24092024045546_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Prachal Manglani","Employees/Designated Employees","Equity Shares","1000","0",,"100","811000","Sell","Equity Shares","900","0","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171554_1248227_24092024045546_WEB.xml"
"SARVESHWAR","Sarveshwar Foods Limited","7(2)","Rohit Gupta","Promoters","Equity Shares","537144000","54.88",,"902277","9031794","Sell","Equity Shares","536241723","54.78","20-Sep-2024","20-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:50","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171551_1248218_24092024045029_WEB.xml"
"USHAMART","Usha Martin Limited","7(2)","PETERHOUSE  INVESTMENTS INDIA LIMITED","Promoter Group","Equity Shares","9316529","3.06",,"100000","35114000","Sell","Equity Shares","9216529","3.02","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171549_1248181_24092024043540_WEB.xml"
"NRBBEARING","NRB Bearing Limited","7(2)","HARSHBEENA SAHNEY ZAVERI","Promoters","Equity Shares","12004238","12.39",,"6645","2106376","Buy","Equity Shares","12010883","12.39","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171546_1248168_24092024042846_WEB.xml"
"NRBBEARING","NRB Bearing Limited","7(2)","HARSHBEENA SAHNEY ZAVERI","Promoters","Equity Shares","11983116","12.36",,"21122","6727148","Buy","Equity Shares","12004238","12.39","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171546_1248168_24092024042846_WEB.xml"
"NRBBEARING","NRB Bearing Limited","7(2)","HARSHBEENA SAHNEY ZAVERI","Promoters","Equity Shares","11948205","12.33",,"34911","10983416","Buy","Equity Shares","11983116","12.36","19-Sep-2024","19-Sep-2024","23-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171546_1248168_24092024042846_WEB.xml"
"NAVA","NAVA LIMITED","7(2)","GORTHI RAGHU CHAITANYA","Immediate relative","Equity Shares","103000","0.07",,"4000","4785240","Sell","Equity Shares","99000","0.07","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171545_1248166_24092024042731_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Neerav Parekh","Promoter Group","Equity Shares","2346053","0.46",,"55000","180337067","Sell","Equity Shares","2291053","0.45","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171543_1248156_24092024041808_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Neerav Parekh","Promoter Group","Equity Shares","2291053","0.45",,"19980","65770320","Sell","Equity Shares","2271073","0.45","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171543_1248156_24092024041808_WEB.xml"
"PROZONER","Prozone Realty Limited","7(2)","Akhil Chaturvedi Family Trust","Promoter Group","Equity Shares","985865","0.65",,"55197","1529075","Sell","Equity Shares","930668","0.61","17-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 16:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171541_1248132_24092024040508_WEB.xml"
"ZODIAC","Zodiac Energy Limited","7(2)","JAXAY SHAH","Director","Equity Shares","324413","2.15",,"5088","3131666","Buy","Equity Shares","329501","2.18","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 15:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171537_1248083_24092024032747_WEB.xml"
"MAZDA","Mazda Limited","7(2)","SHANAYA MODY KHATUA","Promoters","Equity Shares","1257228","31.39",,"4000","5103280","Buy","Equity Shares","1261228","31.49","24-Sep-2024","24-Sep-2024","24-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 15:11","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171535_1248061_24092024031143_WEB.xml"
"GRPLTD","GRP Limited","7(2)","JAGDISH M DESAI HUF","Promoter Group","Equity Shares","1050","0.02",,"70","216188","Sell","Equity Shares","980","0.02","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171534_1248059_24092024031046_WEB.xml"
"GRPLTD","GRP Limited","7(2)","JAGDISH M DESAI HUF","Promoter Group","Equity Shares","980","0.02",,"80","247040","Sell","Equity Shares","900","0.02","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","24-Sep-2024 15:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171534_1248059_24092024031046_WEB.xml"
"FLUOROCHEM","Gujarat Fluorochemicals Limited","7(2)","Shailendra Swarup","Director","Equity Shares","14000","0.01",,"4000","17501520","Sell","Equity Shares","10000","0","17-Sep-2024","17-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 14:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171531_1248028_24092024024922_WEB.xml"
"COFFEEDAY","Coffee Day Enterprises Limited","7(2)","V.G.Siddhartha","Promoters","Equity Shares","9314927","4.41",,"217000","0","Sell","Equity Shares","9097927","4.31","18-Sep-2024","18-Sep-2024","22-Sep-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","24-Sep-2024 14:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171529_1248004_24092024022740_WEB.xml"
"COFFEEDAY","Coffee Day Enterprises Limited","7(2)","Malavika Hegde","Promoters","Equity Shares","2244656","1.06",,"217000","0","Buy","Equity Shares","2461656","1.16","18-Sep-2024","18-Sep-2024","22-Sep-2024","Inter-se-Transfer","-","-","0","0","0","0","NA","-","24-Sep-2024 14:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171529_1248004_24092024022740_WEB.xml"
"NIBL","NRB Industrial Bearings Limited","7(2)","ANJANA MILIND THAKKER","Promoters","Equity Shares","284856","0.97",,"20000","709714","Sell","Equity Shares","264856","0.9","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 14:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171527_1247994_24092024021429_WEB.xml"
"AIAENG","AIA Engineering Limited","7(2)","S. N. Jetheliya","Key Managerial Personnel","Equity Shares","6425","0.01",,"900","3874545","Pledge","Equity Shares","6425","0.01","18-Sep-2024","18-Sep-2024","20-Sep-2024","Pledge Creation","-","-","0","0","0","0","NSE","-","24-Sep-2024 14:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171526_1247992_24092024021426_WEB.xml"
"AVG","AVG Logistics Limited","7(2)","Sanjay Gupta","Promoters","Warrants","850000","6.22",,"125000","27825000","Sell","Warrants","725000","5.2","21-Sep-2024","21-Sep-2024","23-Sep-2024","Others","-","-","0","0","0","0","NA","-","24-Sep-2024 14:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171523_1247984_24092024020517_WEB.xml"
"AVG","AVG Logistics Limited","7(2)","Sanjay Gupta","Promoters","Equity Shares","1841700","13.22",,"150000","0","Sell","Equity Shares","1691700","12.14","23-Sep-2024","23-Sep-2024","23-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","24-Sep-2024 14:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171523_1247984_24092024020517_WEB.xml"
"AVG","AVG Logistics Limited","7(2)","Sanjay Gupta","Promoters","Equity Shares","1716700","12.57",,"125000","27825000","Buy","Equity Shares","1841700","13.22","21-Sep-2024","21-Sep-2024","23-Sep-2024","Others","-","-","0","0","0","0","NA","-","24-Sep-2024 14:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171523_1247984_24092024020517_WEB.xml"
"THOMASCOOK","Thomas Cook  (India)  Limited","7(3)","IDBI Trusteeship Services Limited","-","Equity Shares","4985103","1.06",,"38000","1988828","Sell","Equity Shares","4947103","1.05","20-Sep-2024","20-Sep-2024","23-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","24-Sep-2024 13:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171521_1247980_24092024015529_WEB.xml"
"SDBL","Som Distilleries & Breweries Limited","7(2)","SATPAL KUMAR ARORA","Director","Equity Shares","18033","0.02",,"1500","179604","Buy","Equity Shares","19533","0.02","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 13:13","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171519_1247944_24092024011344_WEB.xml"
"SARLAPOLY","Sarla Performance Fibers Limited","7(2)","Sachin Shashikant Abhyankar","Director","Equity Shares","125000","0.15",,"15000","1351650","Buy","Equity Shares","140000","0.17","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Purchase","-","-","0","0","0","0","BSE","-","24-Sep-2024 12:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171517_1247925_24092024125146_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","669331","1.4",,"4053","10948284","Buy","Equity Shares","673384","1.41","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 11:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171515_1247883_24092024115311_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","665297","1.4",,"4034","10948694","Buy","Equity Shares","669331","1.4","19-Sep-2024","19-Sep-2024","23-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","24-Sep-2024 11:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171515_1247883_24092024115311_WEB.xml"
"RAJMET","Rajnandini Metal Limited","7(2)","Het Ram","Promoters","Equity Shares","136680315","49.43",,"900000","9786870","Sell","Equity Shares","135780315","49.11","23-Sep-2024","23-Sep-2024","24-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 11:19","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171513_1247866_24092024111944_WEB.xml"
"LLOYDSME","Lloyds Metals And Energy Limited","7(2)","Riyaz Shaikh","Key Managerial Personnel","Equity Shares","110520","0.02",,"1000","845000","Sell","Equity Shares","109520","0.02","20-Sep-2024","20-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 11:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171511_1247858_24092024111534_WEB.xml"
"LLOYDSME","Lloyds Metals And Energy Limited","7(2)","Riyaz Shaikh","Key Managerial Personnel","Equity Shares","109520","0.02",,"1000","850000","Sell","Equity Shares","108520","0.02","23-Sep-2024","23-Sep-2024","23-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 11:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171511_1247858_24092024111534_WEB.xml"
"LTTS","L&T Technology Services Limited","7(2)","ADITYA DANDAWATE","Employees/Designated Employees","Equity Shares","501","0",,"500","2738125","Sell","Equity Shares","1","0","20-Sep-2024","20-Sep-2024","19-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","24-Sep-2024 09:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171509_1247831_24092024093818_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Yatin Shah","Promoters","Equity Shares","13425960","3.68",,"100000","108650000","Pledge Revoke","Equity Shares","13425960","3.68","17-Sep-2024","17-Sep-2024","19-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","23-Sep-2024 21:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171507_1247811_23092024091417_WEB.xml"
"360ONE","360 ONE WAM LIMITED","7(2)","Yatin Shah","Promoters","Equity Shares","13425960","3.68",,"100000","108650000","Pledge","Equity Shares","13425960","3.68","17-Sep-2024","17-Sep-2024","19-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","23-Sep-2024 21:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171507_1247811_23092024091417_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Sameer Desai","Employees/Designated Employees","Equity Shares","4764","0",,"600","1829880","Buy","Equity Shares","5364","0","23-Sep-2024","23-Sep-2024","23-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","23-Sep-2024 20:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171506_1247798_23092024082136_WEB.xml"
